id;quote;source;author;approved;published_at
146;Og skikk dere ikke lik denne verden, men bli forvandlet ved at deres sinn fornyes, så dere kan dømme om hva som er Guds vilje: det gode, det som han har behag i, det fullkomne. ;Romerne 12:2;;y;07/09/2024
147;Om dere har tro som et sennepsfrø, kan dere si til dette fjellet: Flytt deg herfra og dit! Og det skal flytte seg. Og ingen ting skal være umulig for dere.;Matteus 17:20;;y;08/09/2024
148;Om enn hele helved’s hær imot deg står, i Guds kraft du seier får.;HV 266;Elihu Pedersen;y;09/09/2024
149;Opp alle, som sover! Se dagen er nær! Så rens deg, og ifør deg snehvite klær. ;HV 205;Johan O. Smith;y;10/09/2024
150;Personlige liv må leves i alle sine enkeltheter, i kamp, i seier, i sorg, i glede, i ondt rykte, i godt rykte, i lidelser, i forfølgelser...;Johan O. Smiths Etterlatte Brev #103;Johan O. Smith;y;11/09/2024
151;Prøvene er velsignelser omkledd.;Johan O. Smiths Etterlatte Brev #30;Johan O. Smith;y;12/09/2024
152;Reis deg til strid, hver kvinne og mann. Gjør hva du kan, bryt deg nytt land.;HV 401;Filip Bekkevold;y;13/09/2024
153;Sett deg ikke lave mål, men sett dem høyt, så når du høyt.;Johan O. Smiths Etterlatte Brev #144;Johan O. Smith;y;14/09/2024
154;Sett din lit til Herren av hele ditt hjerte, og stol ikke på din forstand! Kjenn ham på alle dine veier! Så skal han gjøre dine stier rette. ;Salomos Ordspråk 3:5-6 ;;y;15/09/2024
155;Slik er det også med troen. Dersom den ikke har gjerninger, er den død i seg selv. ;Jakob 2:17;;y;16/09/2024
156;Snart er det natt. Vår arbeidstid er endt. Hvor er din skatt? Er lyset i deg tent?;HV 371;Aksel J. Smith;y;17/09/2024
157;Søk da først Guds rike og hans rettferdighet, så skal dere få alt dette i tillegg!;Matteus 6:33;;y;18/09/2024
158;Ta vare på å gjøre etter alt hva Herren har befalt!!!;Johan O. Smiths Etterlatte Brev #190;Johan O. Smith;y;19/09/2024
159;Tiden er vårt liv!;Johan O. Smiths Etterlatte Brev #173;Johan O. Smith;y;20/09/2024
160;Tjen Herren din Gud av et helt og brennende hjerte.;Fra Kåre 20. mai 2024;Kåre J. Smith;y;21/09/2024
161;Troen taler kun om dagen her i dag, glemmer alt det gamle til Guds velbehag;HV 412;Sverre L. Riksfjord;y;22/09/2024
162;Uten Gud ingen sann glede finnes.;Johan O. Smiths Etterlatte Brev #1;Johan O. Smith;y;23/09/2024
163;Ved tro kan jeg bevare et rent hjerte;Fra Kåre 16. mai 2024;Kåre J. Smith;y;24/09/2024
164;Vi må ikke tenke på å komme gjennom verden seirende uten å kjempe.;Johan O. Smiths Etterlatte Brev #236;Johan O. Smith;y;25/09/2024
165;Vær alltid glade! Be uten opphold! Takk for alt! For dette er Guds vilje for dere i Kristus Jesus.;1 Tessaloniker 5:16-18;;y;26/09/2024
166;Vær blant de kloke fem, som ydmykt skrider frem;HV 207;Karl Pedersen;y;27/09/2024
167;Vær et selvstendig menneske – tenk selv og hør selv, les selv i skriftene og døm og bedøm selv i alle ting, da vil du bli åndelig og nyttig i Herrens tjeneste.;Johan O. Smiths Etterlatte Brev #***;Johan O. Smith;y;28/09/2024
168;Vær fri for alt og alle – for Herren skal sørge for deg.;Johan O. Smiths Etterlatte Brev #151;Johan O. Smith;y;29/09/2024
169;Vær frimodig og sterk!!!;Johan O. Smiths Etterlatte Brev #190;Johan O. Smith;y;30/09/2024
170;Vær frimodige og sterke! Frykt ikke og vær ikke redd for dem! For Herren din Gud går selv med deg, han skal ikke slippe deg og ikke forlate deg.;5 Mosebok 31:6;;y;01/10/2024
171;Vær glade i håpet, tålmodige i trengselen, vedholdende i bønnen!;Romerne 12:12;;y;02/10/2024
172;Vær ikke bekymret for noe, men la i alle ting bønneemnene deres komme fram for Gud i påkallelse og bønn med takk.;Filipperne 4:6;;y;03/10/2024
173;Vær ikke lunkne i iveren! Vær brennende i ånden, tjen Herren!;Romerne 12:11;;y;04/10/2024
174;Våk! Stå faste i troen! Vær mandige! Vær sterke!;1 Korinter 16:13;;y;05/10/2024
175;Stol på Herren av hele ditt hjerte, og støtt deg ikke på din forstand. Tenk på ham på alle dine veier, så skal han gjøre stiene dine rette.;Ordspråkene 3:5-6;/;y;06/10/2024
176;Tiden er kort, nå det gjelder være på vakt hver en stund,;HV 253;/;y;07/10/2024
177;Tro er full visshet om det en håper, overbevisning om ting en ikke ser.;Hebreerne 11:1;/;y;08/10/2024
178;Tror du, så har du allerede hva du begjærer og kan fremføre din bønn med takksigelse.;Johan O. Smiths Etterlatte Brev #95;Johan O. Smith;y;09/10/2024
179;Uten en indre bønn til Gud, og å være i bønnens ånd, så har du ikke de kreftene i deg så du kan gi næring og hjelp med ordet.;Fra Kåre 23. april 2024;Kåre J. Smith;y;10/10/2024
180;Ved å høre, tro og lyde blir vårt liv så akkurat, vår tale så fullkommen og vår omgengelse så ren som om Ordet var blitt kjød.;Johan O. Smiths Etterlatte Brev #98;Johan O. Smith;y;11/10/2024
181;Vi elsker fordi han elsket oss først.;1 Johannes 4:19;/;y;12/10/2024
182;Vi skal aldri se på vanskelighetene som noe uovervinnelig, men vi skal vurdere de for hva de er, og så regne med Guds kraft.;Johan O. Smiths Etterlatte Brev #157;Johan O. Smith;y;13/10/2024
183;Vi vet at alle ting samvirker til det gode for dem som elsker Gud, de som er kalt etter hans råd.;Romerne 8:28;/;y;14/10/2024
184;Vær alltid glade, be uavbrutt, takk Gud under alle omstendigheter. Dette er Guds vilje med dere i Kristus Jesus.;1 Tessalonikerne 5:16-18;/;y;15/10/2024
185;Vær gode mot hverandre, hjertelige, tilgi hverandre, slik Gud har tilgitt dere i Kristus.;Efeserne 4:32;/;y;16/10/2024
186;Vær ikke bekymret for noe, men la i alle ting deres ønsker komme fram for Gud i bønn og påkallelse med takk.;Filipperne 4:6;/;y;17/10/2024
